GRASPConstructive_Criterion1_Seed_13_SolCount_100;1
GRASPConstructive_Criterion1_Seed_13_SolCount_100_LSforPareto_LS_Swap;2

INSTANCE;CV REF-1;HV 1;EPS 1;GD 1;SIZE 1;SPREAD 1;IGD 1;CV REF-2;HV 2;EPS 2;GD 2;SIZE 2;SPREAD 2;IGD 2
GKD-a_19_n10_m6.txt;0.2857142857142857;0.6535370829010644;0.046406538517829415;962.602610162494;7;0.9885364438749309;143.63112300848405;0.0;0.6781831922178241;0.0;747.2180401838003;11;0.98770492133721;142.63455150340042;
GKD-a_32_n15_m4.txt;0.4117647058823529;0.41118682812367485;0.2562322264937814;212.03094444144782;17;0.9306536958340978;108.31194733702628;0.0;0.4769641274715115;0.0;155.47572941198092;29;0.9037997036445461;94.24314724562201;
GKD-a_47_n15_m12.txt;0.36363636363636365;0.09367193424448061;0.32650145374927797;3970.473468866003;11;0.9995749277396974;279.9540844633927;0.0;0.1418862576452828;0.0;3796.7031602706343;12;0.998362167227319;279.9540844633927;
GKD-a_52_n30_m6.txt;0.53125;0.23743626284702837;0.27020781953707984;515.1374534791308;32;0.9552387119449535;170.20484627943554;0.0;0.3247885521979602;0.0;285.97264279012785;100;0.903022219325696;160.35029636740376;
GKD-a_57_n30_m9.txt;0.3181818181818182;0.38004869605684566;0.24358606733846067;1617.64845392817;22;0.98413426682426;203.12744861760422;0.0;0.4369183431670486;0.0;791.552769785155;87;0.9514148795883515;183.17316072888028;
GKD-a_65_n30_m12.txt;0.07142857142857142;0.49760558746736866;0.15980664537707284;2385.842705919121;14;0.9868930928491392;189.2669507838249;0.0;0.5001592600140339;0.0;1910.2904482854142;21;0.9799813639969795;168.1386136436956;
GKD-a_71_n30_m24.txt;0.0;0.4121146859240059;0.13919134080136908;11274.41094452393;9;0.9984352949032118;529.38203493676;0.0;0.41212603695695366;0.0;8447.035468104055;16;0.9966438542027853;529.38203493676;
GKD-a_7_n10_m3.txt;0.0;0.22431150758690666;0.14645877000227978;189.4765616213845;8;0.94842421440167;105.9392217838847;0.0;0.2258484624234494;0.0;167.31584856451556;10;0.957289742524016;105.9392217838847;
GKD-b_13_n50_m5.txt;0.21052631578947367;0.4799794980162038;0.2113647550156457;292.41243189327264;19;0.9099452315616572;105.03901741707439;0.0;0.5423757384242369;0.0;138.0073199585859;74;0.8205759218402221;94.16709635172941;
GKD-b_17_n50_m15.txt;0.5357142857142857;0.1582308433962781;0.26940648760086844;1268.0172093273911;28;0.9695112983067153;190.75857622102063;0.0;0.2478378413546569;0.0;437.9416137956886;218;0.8844647127733407;161.90723086493463;
GKD-b_1_n25_m2.txt;
GKD-b_24_n100_m10.txt;0.35294117647058826;0.45937297975665575;0.2569562990781837;2150.72041351466;17;0.986382230001015;196.51008052020785;0.0;0.5109627476963027;0.0;930.1898818630873;84;0.9570764204537052;185.2800597531776;
GKD-b_30_n100_m30.txt;0.14285714285714285;0.3489680683585227;0.21804588589846166;19693.302050051305;7;1.0055014453537547;540.641002032604;0.0;0.35490322545532127;0.0;9591.186201857896;26;0.9891527577250585;540.641002032604;
GKD-b_35_n125_m12.txt;0.36;0.30266449538667817;0.2680804889884253;1294.5465759623314;25;0.9608192071277835;177.9817783675914;0.0;0.4236750503468489;0.0;547.8602133794051;112;0.8918178994485139;114.4723341058443;
GKD-b_37_n125_m37.txt;0.35714285714285715;0.48390055369074003;0.25748723870920254;32386.431441563047;14;0.9975247027772657;643.6136204253403;0.0;0.5088945657973641;0.0;11976.701096308783;95;0.9869522846725197;643.6136204253403;
GKD-b_48_n150_m45.txt;0.0;0.409128329266209;0.18438076684174715;54186.85965270523;6;0.995237866477649;1044.728700624811;0.0;0.4131330373881985;0.0;17993.04220135177;46;0.9905299841886361;899.0192840057192;
GKD-b_8_n25_m7.txt;0.06666666666666667;0.5128814701398895;0.21739265043500516;1000.3260741252204;15;0.9808688161191116;160.42625310142873;0.0;0.5481662910075948;0.0;510.91719270919356;52;0.9359667690857559;145.3165745190051;
GKD-c_13_n500_m50.txt;0.0;0.32431845978337065;0.24339737762570512;6413.262967284694;8;1.004635080053778;95.04928984281715;0.0;0.33211336383136547;0.0;2100.782264158888;60;0.9973942872409259;95.04928984281715;
GKD-c_18_n500_m50.txt;0.21428571428571427;0.2705976877136669;0.1769829458655614;4884.086320997721;14;1.0069807486754743;74.22969180916584;0.0;0.2889219219170302;0.0;932.0292396791082;299;0.9733970717543605;74.22969180916584;
GKD-c_1_n500_m50.txt;0.0;0.5024925397859943;0.1000287999065663;6817.131969019957;8;0.9999586754510759;77.45726684224671;0.0;0.5062392537308856;0.0;3192.505800398841;29;0.9957739946037772;77.45726684224671;
MDG-a_9_n500_m50.txt;0.08333333333333333;0.09295212268392526;0.3963987390498585;2043.1570741633116;12;1.0035544274942905;64.34856928936894;0.0;0.09614080376904086;0.0;371.6418864059747;289;0.9697390391585382;43.65630050940424;
MDG-b_12_n500_m50.txt;0.3157894736842105;0.2222059722907369;0.1869976139064825;157167.72426761495;19;0.9937070273700082;6271.065560369456;0.0;0.22950467306113945;0.0;25315.621879395203;626;0.9581671690887368;4298.110220282583;
SOM-a_18_n50_m15.txt;0.0;0.3156658732857305;0.08;198.65300003939404;9;0.9770654312667858;16.597333991807677;0.0;0.3156658732857305;0.0;173.45391310068976;11;0.9673804841909072;14.672493382585612;
SOM-a_28_n100_m30.txt;
