GRASPConstructive_Criterion1_Seed_13_SolCount_700_LS_Swap;1
GRASPConstructive_Criterion1_Seed_13_SolCount_700_LSforParetoConcurrent_LS_Swap_100%_100%;2

INSTANCE;CV REF-1;HV 1;EPS 1;GD 1;SIZE 1;SPREAD 1;IGD 1;CV REF-2;HV 2;EPS 2;GD 2;SIZE 2;SPREAD 2;IGD 2
GKD-a_19_n10_m6.txt;0.0;0.6927140458879903;0.0;616.9000109215399;16;0.9988965636580581;142.63518834616633;0.36363636363636365;0.6927135979521138;0.016317492190793658;754.0718947748074;11;0.989180664839598;142.63518834616633;
GKD-a_32_n15_m4.txt;0.0;0.4835691545261806;0.0;133.555690358357;40;0.9055241573886355;94.28002486286343;0.2571428571428571;0.4835145507041996;0.11849525706303699;144.20958719557237;35;0.9155724995554126;94.28002486286343;
GKD-a_47_n15_m12.txt;0.2682926829268293;0.14292532127016555;3.2226617603381413E-6;2051.0222256495013;41;1.0006525003202493;279.8997952803677;0.625;0.14292517184324344;4.833992631347872E-6;2684.793425706804;24;1.0009105125566644;279.9000034568349;
GKD-a_52_n30_m6.txt;0.1921182266009852;0.46266050726856794;0.087056370210019;206.27450848004068;203;0.8871303346031549;151.81535174513326;0.4423076923076923;0.4488399280699006;0.09712230924852283;238.92893492923932;156;0.8976352351078456;153.53145203166693;
GKD-a_57_n30_m9.txt;0.09714285714285714;0.7127505934189596;0.04962068198134058;570.9581971029404;175;0.9808932386145999;178.78830186930134;0.7124183006535948;0.6610827254692874;0.09928693172400732;609.704273928907;153;0.9627550591829643;183.53083069640246;
GKD-a_65_n30_m12.txt;0.359375;0.6021094027708539;0.07186519246781536;552.6283204984428;256;0.9862756305843982;116.00873041455318;0.3699421965317919;0.608954892483444;0.11743075825090821;671.6487229611544;173;0.9851704806347887;110.94547120259426;
GKD-a_71_n30_m24.txt;0.18811881188118812;0.4505034571074831;0.050202333436715235;2377.236660492276;202;1.002230707361746;484.7311840453583;0.5853658536585366;0.4501535972636307;0.0729280538184671;3048.1152601664203;123;1.0015900933962782;484.7309567342306;
GKD-a_7_n10_m3.txt;0.0;0.3309981465945984;0.0;159.1202769440313;11;0.9550285725285736;106.0863049911276;0.0;0.3309981465945984;0.0;159.12027694403133;11;0.9550285725285736;106.0863049911276;
GKD-b_13_n50_m5.txt;0.05982905982905983;0.5819964537056913;0.06940093345255238;120.29490909181129;117;0.820568442793313;84.17646522731333;0.6218487394957983;0.5386246298128741;0.14975652091203295;116.67370685621022;119;0.8381412628014293;86.27681724581319;
GKD-b_17_n50_m15.txt;0.25071496663489035;0.31663813248808764;0.0679000828127101;124.9774286473052;3147;0.7070490641789371;98.93782065917252;0.40515988372093026;0.31209028038923875;0.10232375165507628;131.49480488429398;2752;0.6862404483314045;93.58127058329433;
GKD-b_1_n25_m2.txt;
GKD-b_24_n100_m10.txt;0.26900584795321636;0.5730239259910611;0.0731257627211932;341.4988786389918;684;0.8630157653492032;169.0068389484612;0.47441217150760717;0.5504150285065389;0.07361968875078556;322.51557740582416;723;0.8323457218183825;169.6704361344227;
GKD-b_30_n100_m30.txt;0.1747885622231172;0.5286358501566365;0.046140720488689224;1029.9481750477473;2483;0.8637960639152523;242.64661809587474;0.6840292724924666;0.4771148861870549;0.101752928061469;1059.808713079549;2323;0.8640726074359221;272.7015980247417;
GKD-b_35_n125_m12.txt;0.2268188302425107;0.596477052292069;0.06914428797306868;252.1078545140572;701;0.8194142954264956;67.52327902949571;0.5692137320044297;0.5277772590525374;0.10567546046472885;215.8270604138667;903;0.7748871347294717;74.00718981381887;
GKD-b_37_n125_m37.txt;0.0744920993227991;0.6540265817611901;0.041307715481002524;2665.710670375855;2215;0.9334141655473569;342.8987009525684;0.7729445506692161;0.5758115306687225;0.08765369657118542;2721.9519086661544;2092;0.9266011760697682;410.07340461850265;
GKD-b_48_n150_m45.txt;0.06234177215189873;0.5757917207664115;0.05662765856758476;1341.675794444826;9480;0.844823450559972;408.8363397114466;0.8061342592592593;0.48882216618355434;0.09444321503581794;1559.5829635674406;6912;0.8366646015832278;449.6029415150937;
GKD-b_8_n25_m7.txt;0.11330049261083744;0.6141465423272832;0.06636470004822384;266.3231573972568;203;0.9524237838222507;143.92306329473283;0.5658914728682171;0.5613535452048053;0.17374157119912254;332.3516841115275;129;0.9524946442953834;144.31381487592685;
GKD-c_13_n500_m50.txt;0.043286040396451585;0.6917745613069798;0.02410722385171293;96.96687787913271;34607;0.6531174183341603;29.771188690606095;0.9148078725398313;0.6049710281250572;0.06827794806763218;99.38545907249897;32010;0.6376599124604775;31.983854539423167;
GKD-c_18_n500_m50.txt;0.016078720508166968;0.6483650056172959;0.015434346436798717;96.16704719787134;35264;0.6433492114328799;32.04684881254351;0.9345176298688814;0.5699458896417056;0.0690396571796586;111.28740656889288;26007;0.6746612650382408;35.50156995146968;
GKD-c_1_n500_m50.txt;0.008139201210445307;0.6613117304023484;0.022125203391749115;92.89795898756714;38333;0.6462974846060443;28.98424425584192;0.9656246892299533;0.5882058584528194;0.06413742705069558;103.60680911926272;30167;0.6520440350874417;33.01059333235638;
MDG-a_9_n500_m50.txt;0.01270186898929414;0.4506620350860937;0.07125094308556429;67.64869429636967;11022;0.7658067457209103;18.95457160883673;0.9617527862208713;0.32255873257692724;0.20054280416025017;79.19337115041604;7896;0.805096742990415;16.754151735603482;
